"folio","edad","sexo","educacion","cse","n_personas","macrozona","prob_gastar_comida_fuera","gasto_cond_comida_fuera","gasto_esp_comida_fuera"
109630301,59,"2","1","1",6,NA,NA,89725.4335691707,NA
109630401,22,"1","3","1",4,NA,NA,89725.4335691707,NA
109630501,72,"1","1","1",2,NA,NA,89725.4335691707,NA
109630601,64,"2","1","1",1,NA,NA,89725.4335691707,NA
109630701,41,"1",NA,"1",5,NA,NA,89725.4335691707,NA
109630801,63,"1","1","1",4,NA,NA,89725.4335691707,NA
109770101,60,"1","1",NA,3,NA,NA,89725.4335691707,NA
109770201,39,"2","6",NA,3,NA,NA,89725.4335691707,NA
109770301,43,"1","8",NA,5,NA,NA,89725.4335691707,NA
109770501,42,"1","9",NA,4,NA,NA,89725.4335691707,NA
109770601,42,"2","7",NA,3,NA,NA,89725.4335691707,NA
109770701,44,"2","1",NA,2,NA,NA,89725.4335691707,NA
109770801,24,"1","9",NA,3,NA,NA,89725.4335691707,NA
109790101,61,"2","3","2",2,NA,NA,89725.4335691707,NA
109790301,38,"1","6","2",5,NA,NA,89725.4335691707,NA
109790601,71,"2",NA,"2",2,NA,NA,89725.4335691707,NA
109790701,32,"1",NA,"2",3,NA,NA,89725.4335691707,NA
109790801,74,"1","1","2",3,NA,NA,89725.4335691707,NA
109880301,62,"2","5","2",4,NA,NA,89725.4335691707,NA
109880501,29,"1","3","2",1,NA,NA,89725.4335691707,NA
109880601,38,"2","-88","2",4,NA,NA,89725.4335691707,NA
109880701,48,"1","5","2",1,NA,NA,89725.4335691707,NA
109930101,26,"1","5","2",2,NA,NA,89725.4335691707,NA
109930201,37,"2","7","2",4,NA,NA,89725.4335691707,NA
109930301,55,"1",NA,"2",5,NA,NA,89725.4335691707,NA
109930401,65,"2",NA,"2",6,NA,NA,89725.4335691707,NA
109930501,82,"1","1","2",4,NA,NA,89725.4335691707,NA
109930701,60,"1","5","2",4,NA,NA,89725.4335691707,NA
109930801,28,"2","11","2",2,NA,NA,89725.4335691707,NA
109990101,49,"2","12","3",7,NA,NA,89725.4335691707,NA
109990201,43,"1","9","3",3,NA,NA,89725.4335691707,NA
109990501,46,"2","8","3",4,NA,NA,89725.4335691707,NA
109990701,34,"1","11","3",1,NA,NA,89725.4335691707,NA
